Neighbor,Linklayer,Address,Expire(O),Expire(I),Netif,Refs,Prbs,RSSI,LQM,NPM,
10.27.0.0,ff:ff:ff:ff:ff:ff,(none),(none),en0
10.27.0.1,(incomplete),(none),(none),en0
10.27.0.2,(incomplete),(none),(none),en0
10.27.0.3,(incomplete),(none),(none),en0
10.27.0.4,0:0:c:9f:f1:56,2m43s,2m35s,en0,1,none,unknown,unknown,unknown
10.27.0.5,7c:e:ce:3e:d5:3f,2m25s,2m26s,en0,1,none,unknown,unknown,unknown
10.27.0.6,7c:e:ce:26:25:b7,1m15s,1m15s,en0,1,none,unknown,unknown,unknown
10.27.0.7,64:9e:f3:65:b3:d,1m4s,1m4s,en0,1,none,unknown,unknown,unknown
10.27.0.8,(incomplete),(none),(none),en0
10.27.0.9,(incomplete),(none),(none),en0
10.27.0.10,24:e9:b3:43:81:a4,1m52s,1m52s,en0,1,none,unknown,unknown,unknown
10.27.0.11,(incomplete),(none),(none),en0
10.27.0.12,(incomplete),(none),(none),en0
10.27.0.13,(incomplete),(none),(none),en0
10.27.0.14,(incomplete),(none),(none),en0
10.27.0.15,(incomplete),(none),(none),en0
10.27.0.16,(incomplete),(none),(none),en0
10.27.0.17,(incomplete),(none),(none),en0
10.27.0.18,(incomplete),(none),(none),en0
10.27.0.19,(incomplete),(none),(none),en0
10.27.0.20,(incomplete),(none),(none),en0
10.27.0.21,(incomplete),(none),(none),en0
10.27.0.22,(incomplete),(none),(none),en0
10.27.0.23,(incomplete),(none),(none),en0
10.27.0.24,(incomplete),(none),(none),en0
10.27.0.25,(incomplete),(none),(none),en0
10.27.0.26,(incomplete),(none),(none),en0
10.27.0.27,(incomplete),(none),(none),en0
10.27.0.28,(incomplete),(none),(none),en0
10.27.0.29,(incomplete),(none),(none),en0
10.27.0.30,(incomplete),(none),(none),en0
10.27.0.31,(incomplete),(none),(none),en0
10.27.0.32,(incomplete),(none),(none),en0
10.27.0.33,(incomplete),(none),(none),en0
10.27.0.34,(incomplete),(none),(none),en0
10.27.0.35,(incomplete),(none),(none),en0
10.27.0.36,(incomplete),(none),(none),en0
10.27.0.37,(incomplete),(none),(none),en0
10.27.0.38,(incomplete),(none),(none),en0
10.27.0.39,(incomplete),(none),(none),en0
10.27.0.40,(incomplete),(none),(none),en0
10.27.0.41,(incomplete),(none),(none),en0
10.27.0.42,(incomplete),(none),(none),en0
10.27.0.43,(incomplete),(none),(none),en0
10.27.0.44,(incomplete),(none),(none),en0
10.27.0.45,(incomplete),(none),(none),en0
10.27.0.46,(incomplete),(none),(none),en0
10.27.0.47,(incomplete),(none),(none),en0
10.27.0.48,(incomplete),(none),(none),en0
10.27.0.49,(incomplete),(none),(none),en0
10.27.0.50,(incomplete),(none),(none),en0
10.27.0.51,(incomplete),(none),(none),en0
10.27.0.52,(incomplete),(none),(none),en0
10.27.0.53,(incomplete),(none),(none),en0
10.27.0.54,(incomplete),(none),(none),en0
10.27.0.55,(incomplete),(none),(none),en0
10.27.0.56,(incomplete),(none),(none),en0
10.27.0.60,(incomplete),(none),(none),en0
10.27.255.255,ff:ff:ff:ff:ff:ff,(none),(none),en0
224.0.0.251,1:0:5e:0:0:fb,(none),(none),en0
239.255.255.250,1:0:5e:7f:ff:fa,(none),(none),en0
